Trial, Divers, PDCS Mild, PDCS Serious
60 300 1:20 Air 456 458:00 4.5, 1, 0.078897, 0.011087
70 48 2:20 Air 0 2:20 0 K, 1, 0.017865, 0.002420
70 50 1:40 Air 2 4:20 0.5 K, 1, 0.018615, 0.002523
70 55 1:40 Air 9 11:20 0.5 L, 1, 0.021272, 0.002888
70 60 1:40 Air 14 16:20 0.5 M, 1, 0.024321, 0.003307
70 70 1:40 Air 24 26:20 0.5 N, 1, 0.030684, 0.004188
70 80 1:40 Air 44 46:20 1 O, 1, 0.037258, 0.005105
70 90 1:40 Air 64 66:20 1 Z, 1, 0.043376, 0.005965
70 100 1:40 Air 88 90:20 1.5 Z, 1, 0.048549, 0.006697
70 110 1:40 Air 120 122:20 1.5 Z, 1, 0.052443, 0.007251
70 120 1:40 Air 145 147:20 2 Z, 1, 0.056328, 0.007807
70 130 1:40 Air 167 169:20 2 Z, 1, 0.059995, 0.008334
70 140 1:40 Air 189 191:20 2.5, 1, 0.063259, 0.008804
70 150 1:40 Air 219 221:20 2.5, 1, 0.065444, 0.009121
70 160 1:20 Air 1 244 247:00 3, 1, 0.067641, 0.009440
70 170 1:20 Air 2 265 269:00 3, 1, 0.069988, 0.009781
70 180 1:20 Air 4 289 295:00 3.5, 1, 0.071914, 0.010062
70 190 1:20 Air 5 316 323:00 3.5, 1, 0.073651, 0.010317
70 200 1:20 Air 9 345 356:00 4, 1, 0.074932, 0.010504
70 210 1:20 Air 13 378 393:00 4, 1, 0.075876, 0.010643
70 240 1:20 Air 25 454 481:00 5, 1, 0.079533, 0.011181
80 39 2:40 Air 0 2:40 0 J, 1, 0.016761, 0.002269
80 40 2:00 Air 1 3:40 0.5 J, 1, 0.017153, 0.002323
80 45 2:00 Air 10 12:40 0.5 K, 1, 0.020064, 0.002722
80 50 2:00 Air 17 19:40 0.5 M, 1, 0.023648, 0.003214
80 55 2:00 Air 24 26:40 0.5 M, 1, 0.027269, 0.003715
80 60 2:00 Air 30 32:40 1 N, 1, 0.031069, 0.004242
80 70 2:00 Air 54 56:40 1 O, 1, 0.038710, 0.005309
80 80 2:00 Air 77 79:40 1.5 Z, 1, 0.045697, 0.006293
80 90 2:00 Air 114 116:40 1.5 Z, 1, 0.050849, 0.007024
80 100 1:40 Air 1 147 150:20 2 Z, 1, 0.055467, 0.007684
80 110 1:40 Air 6 171 179:20 2 Z, 1, 0.060023, 0.008338
80 120 1:40 Air 10 200 212:20 2.5, 1, 0.063625, 0.008857
80 130 1:40 Air 14 232 248:20 3, 1, 0.066334, 0.009250
80 140 1:40 Air 17 258 277:20 3.5, 1, 0.069144, 0.009658
80 150 1:40 Air 19 285 306:20 3.5, 1, 0.071818, 0.010048
80 160 1:40 Air 21 318 341:20 4, 1, 0.073978, 0.010364
80 170 1:40 Air 27 354 383:20 4, 1, 0.075512, 0.010589
80 180 1:40 Air 33 391 426:20 4.5, 1, 0.076872, 0.010789
80 210 1:40 Air 51 473 526:20 5, 1, 0.081747, 0.011508
90 33 3:00 Air 0 3:00 0 J, 1, 0.016220, 0.002195
90 35 2:20 Air 4 7:00 0.5 J, 1, 0.016999, 0.002302
90 40 2:20 Air 14 17:00 0.5 L, 1, 0.020883, 0.002834
90 45 2:20 Air 23 26:00 0.5 M, 1, 0.025020, 0.003404
90 50 2:20 Air 31 34:00 1 N, 1, 0.029226, 0.003986
90 55 2:20 Air 39 42:00 1 O, 1, 0.033666, 0.004603
90 60 2:20 Air 56 59:00 1 O, 1, 0.037996, 0.005209
90 70 2:20 Air 83 86:00 1.5 Z, 1, 0.046023, 0.006339
90 80 2:00 Air 5 125 132:40 2 Z, 1, 0.051888, 0.007172
